|id |stream_id|va_id|line|type|count|direction|created_at             |client_id|frame_image                                         |object_image                                                |notification_status|accepted_by|x1          |y1          |x2          |y2          |confidence|line_object                                                                                                                                                                                  |latitude|longitude|
|---|---------|-----|----|----|-----|---------|-----------------------|---------|----------------------------------------------------|------------------------------------------------------------|-------------------|-----------|------------|------------|------------|------------|----------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------|---------|
|23 |3        |5    |0   |3   |1    |1        |2025-12-17 10:15:45.382|0        |analytics/traffic/5/2025/12/17/10/_1765966545098.jpg|analytics/traffic/5/2025/12/17/10/_1765966545098_cropped.jpg|0                  |0          |0.5400000215|0.150000006 |0.6399999857|0.4099999964|0.5       |{"color":"#9EF88E","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3,2,5,4],"x1":0.9358924013351659,"x2":0.3484193991753387,"y1":0.2722222222222222,"y2":0.3416666666666667}|0       |0        |
|24 |3        |5    |0   |2   |1    |1        |2025-12-17 10:15:48.247|0        |analytics/traffic/5/2025/12/17/10/_1765966548247.jpg|analytics/traffic/5/2025/12/17/10/_1765966548247_cropped.jpg|0                  |0          |0.5500000119|0.1099999994|0.8399999738|0.4499999881|0.5       |{"color":"#9EF88E","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3,2,5,4],"x1":0.9358924013351659,"x2":0.3484193991753387,"y1":0.2722222222222222,"y2":0.3416666666666667}|0       |0        |
|25 |3        |5    |0   |2   |1    |1        |2025-12-17 10:15:51.524|0        |analytics/traffic/5/2025/12/17/10/_1765966551524.jpg|analytics/traffic/5/2025/12/17/10/_1765966551524_cropped.jpg|0                  |0          |0.5199999809|0.1099999994|0.8299999833|0.4900000095|0.5       |{"color":"#9EF88E","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3,2,5,4],"x1":0.9358924013351659,"x2":0.3484193991753387,"y1":0.2722222222222222,"y2":0.3416666666666667}|0       |0        |
|26 |3        |5    |0   |2   |1    |1        |2025-12-17 10:16:00.688|0        |analytics/traffic/5/2025/12/17/10/_1765966560688.jpg|analytics/traffic/5/2025/12/17/10/_1765966560688_cropped.jpg|0                  |0          |0.4099999964|0.0700000003|0.7699999809|0.5199999809|0.5       |{"color":"#9EF88E","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3,2,5,4],"x1":0.9358924013351659,"x2":0.3484193991753387,"y1":0.2722222222222222,"y2":0.3416666666666667}|0       |0        |
|1  |3        |5    |0   |0   |1    |1        |2025-12-17 10:11:20.993|0        |analytics/traffic/5/2025/12/17/10/_1765966280993.jpg|analytics/traffic/5/2025/12/17/10/_1765966280993_cropped.jpg|0                  |0          |0.8199999928|0.1199999973|0.9100000262|0.349999994 |0.5       |{"color":"#8E50ED","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3],"x1":0.8966228156292951,"x2":0.3484193991753387,"y1":0.25277777777777777,"y2":0.3416666666666667}     |0       |0        |
|2  |3        |5    |0   |3   |1    |1        |2025-12-17 10:11:21.999|0        |analytics/traffic/5/2025/12/17/10/_1765966281328.jpg|analytics/traffic/5/2025/12/17/10/_1765966281328_cropped.jpg|0                  |0          |0.75        |0.1400000006|0.8600000143|0.3700000048|0.5       |{"color":"#8E50ED","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3],"x1":0.8966228156292951,"x2":0.3484193991753387,"y1":0.25277777777777777,"y2":0.3416666666666667}     |0       |0        |
|3  |3        |5    |0   |0   |1    |1        |2025-12-17 10:12:09.074|0        |analytics/traffic/5/2025/12/17/10/_1765966329073.jpg|analytics/traffic/5/2025/12/17/10/_1765966329073_cropped.jpg|0                  |0          |0.4600000083|0.1400000006|0.5899999738|0.4600000083|0.5       |{"color":"#8E50ED","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3],"x1":0.8966228156292951,"x2":0.3484193991753387,"y1":0.25277777777777777,"y2":0.3416666666666667}     |0       |0        |
|4  |3        |5    |0   |0   |1    |1        |2025-12-17 10:12:10.141|0        |analytics/traffic/5/2025/12/17/10/_1765966330141.jpg|analytics/traffic/5/2025/12/17/10/_1765966330141_cropped.jpg|0                  |0          |0.4900000095|0.1400000006|0.6100000143|0.4699999988|0.5       |{"color":"#8E50ED","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3],"x1":0.8966228156292951,"x2":0.3484193991753387,"y1":0.25277777777777777,"y2":0.3416666666666667}     |0       |0        |
|5  |3        |5    |0   |0   |1    |1        |2025-12-17 10:12:55.382|0        |analytics/traffic/5/2025/12/17/10/_1765966375382.jpg|analytics/traffic/5/2025/12/17/10/_1765966375382_cropped.jpg|0                  |0          |0.7400000095|0.1299999952|0.8399999738|0.400000006 |0.5       |{"color":"#8E50ED","count_type":1,"direction":1,"id":0,"name":"Rule 1","types":[0,1,3],"x1":0.8966228156292951,"x2":0.3484193991753387,"y1":0.25277777777777777,"y2":0.3416666666666667}     |0       |0        |
